categories,employmentTypes,metadata_expiryDate,metadata_isPostedOnBehalf,metadata_jobPostId,metadata_newPostingDate,metadata_originalPostingDate,metadata_repostCount,metadata_totalNumberJobApplication,metadata_totalNumberOfView,minimumYearsExperience,numberOfVacancies,occupationId,positionLevels,postedCompany_name,salary_maximum,salary_minimum,salary_type,status_id,status_jobStatus,title
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":6,""category"":""Building and Construction""},{""id"":8,""category"":""Customer Service""},{""id"":11,""category"":""Engineering""},{""id"":17,""category"":""General Work""}]",Full Time,3/7/2023,FALSE,MCF-2022-0965926,3/6/2023,8/12/2022,2,36,491,1,2,,Non-executive,SRP CONSTRUCTION PTE. LTD.,4300,3600,Monthly,0,Re-open,Assistant Engineer
"[{""id"":15,""category"":""F&B""}]",Part Time,8/5/2023,FALSE,MCF-2023-0066029,8/4/2023,27/1/2023,1,0,55,1,4,,Professional,BONCHON SINGAPORE PTE. LTD.,2800,1500,Monthly,0,Closed,F&B Kitchen Operation Team @ Multi Location
"[{""id"":21,""category"":""Information Technology""},{""id"":24,""category"":""Logistics / Supply Chain""},{""id"":41,""category"":""Others""}]",Contract,8/5/2023,FALSE,MCF-2023-0274610,8/4/2023,8/4/2023,0,2,31,4,1,,Senior Executive,PERSOLKELLY SINGAPORE PTE. LTD.,6000,4500,Monthly,0,Closed,Project Manager (Leading Utilities) | Up $6000 + Bonus | Kallang Sector ~
"[{""id"":2,""category"":""Admin / Secretarial""}]",Full Time,22/4/2023,FALSE,MCF-2023-0274478,8/4/2023,8/4/2023,0,7,71,6,2,,Senior Management,SWARNAM INTERNATIONAL TRADING PTE. LTD.,10000,6000,Monthly,0,Closed,Executive Manager
"[{""id"":10,""category"":""Education and Training""}]",Contract,8/5/2023,FALSE,MCF-2023-0274448,8/4/2023,8/4/2023,0,5,79,2,2,,Non-executive,ST ANDREW'S MISSION HOSPITAL,2400,1800,Monthly,0,Closed,Teacher (Student Care)
"[{""id"":8,""category"":""Customer Service""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274542,8/4/2023,8/4/2023,0,2,39,1,30,,Non-executive,AEON SEARCH CONSULTING PTE. LTD.,2500,1500,Monthly,0,Closed,CALL CENTRE AGENT X 10 (TEMP TO PERM) / NORTH EAST
"[{""id"":6,""category"":""Building and Construction""},{""id"":11,""category"":""Engineering""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274433,8/4/2023,8/4/2023,0,1,35,2,1,,Executive,SEARCH PERSONNEL PRIVATE LIMITED,6000,5000,Monthly,0,Closed,Civil Engineer (LTA Project/A1 Main Con/EAST) - Up to $6000 + Bonus
"[{""id"":2,""category"":""Admin / Secretarial""},{""id"":8,""category"":""Customer Service""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274597,8/4/2023,8/4/2023,0,8,114,0,4,,Executive,MINDFLEX EDUCATION PTE. LTD.,3500,2500,Monthly,0,Closed,Admin Executive
"[{""id"":15,""category"":""F&B""}]",Permanent,8/5/2023,FALSE,MCF-2023-0173551,8/4/2023,4/3/2023,1,0,36,1,20,,Senior Executive,BONCHON SINGAPORE PTE. LTD.,3000,2000,Monthly,0,Closed,F&B FOH Management Trainee
"[{""id"":2,""category"":""Admin / Secretarial""},{""id"":24,""category"":""Logistics / Supply Chain""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274468,8/4/2023,8/4/2023,0,0,40,3,3,,Junior Executive,TRUST RECRUIT PTE. LTD.,2500,2000,Monthly,0,Closed,Logistics Coordinator (West/ Pick up provided/ Coordination/ DO/ Freight Forwarding/ Procurement) CSY
"[{""id"":31,""category"":""Purchasing / Merchandising""},{""id"":35,""category"":""Sales / Retail""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274620,8/4/2023,8/4/2023,0,4,44,3,1,,Executive,HOUSE OF 28 PTE. LTD.,4500,3000,Monthly,0,Closed,Buyer / Senior Buyer (Beauty)
"[{""id"":8,""category"":""Customer Service""}]",Full Time,29/4/2023,FALSE,MCF-2023-0274559,8/4/2023,8/4/2023,0,6,102,3,2,,Executive,ONG RADIO INTERNATIONAL PTE LTD,3800,2000,Monthly,0,Closed,Technical/Operation Executive
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""}]",Full Time,17/7/2023,FALSE,MCF-2023-0274574,17/6/2023,8/4/2023,1,16,241,1,3,,Executive,RADUGA PTE LTD,3500,2650,Monthly,0,Re-open,"ACCOUNTS EXECUTIVE, Central, Near MRT"
"[{""id"":37,""category"":""Security and Investigation""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274590,8/4/2023,8/4/2023,0,11,138,1,20,,Executive,FORTE EMPLOYMENT SERVICES PTE. LTD.,5000,2000,Monthly,0,Closed,Security Officer (MAX GROSS $3200)
"[{""id"":18,""category"":""Healthcare / Pharmaceutical""}]",Permanent,8/5/2023,FALSE,MCF-2023-0178843,8/4/2023,6/3/2023,1,6,92,2,2,,Non-executive,THE LENTOR RESIDENCE PTE LTD,4000,3000,Monthly,0,Closed,Staff Nurse (Home Care)
"[{""id"":2,""category"":""Admin / Secretarial""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274587,8/4/2023,8/4/2023,0,15,224,3,1,,Executive,WINGSOVERASIA PTE. LTD.,3200,2700,Monthly,0,Closed,Office Administration & Support Assistant
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":7,""category"":""Consulting""},{""id"":8,""category"":""Customer Service""},{""id"":20,""category"":""Human Resources""},{""id"":35,""category"":""Sales / Retail""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274485,8/4/2023,8/4/2023,0,10,105,0,1,,Fresh/entry level,RECRUITPEDIA PTE. LTD.,3800,2500,Monthly,0,Closed,Management Trainee (Corporate / Business) - No experience required (Training Provided)
"[{""id"":24,""category"":""Logistics / Supply Chain""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274552,8/4/2023,8/4/2023,0,12,151,4,1,,Fresh/entry level,RANDSTAD PTE. LIMITED,4800,2800,Monthly,0,Closed,Airfreight Logistics Executive (Air Waybill & Export)
"[{""id"":21,""category"":""Information Technology""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274618,8/4/2023,8/4/2023,0,4,102,2,1,,Junior Executive,TRUST RECRUIT PTE. LTD.,6500,4500,Monthly,0,Closed,"Network Engineer ( Infrastructure , CCNA , Firewall , Router , Switches ) - URGENT HIRING!!!"
"[{""id"":11,""category"":""Engineering""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274438,8/4/2023,8/4/2023,0,0,36,0,3,,Fresh/entry level,TRUST RECRUIT PTE. LTD.,3000,2500,Monthly,0,Closed,R&D Officer/ Engineer (West/ Design/ Project Management/Training provided) CSY
"[{""id"":21,""category"":""Information Technology""}]",Contract,22/4/2023,FALSE,MCF-2023-0274388,8/4/2023,8/4/2023,0,0,49,5,5,,Senior Executive,QUANTUM INFOTECH SOLUTIONS PTE. LTD.,9000,7000,Monthly,0,Closed,Senior Software Engineer
"[{""id"":15,""category"":""F&B""}]",Part Time,8/5/2023,FALSE,MCF-2023-0066067,8/4/2023,27/1/2023,2,2,57,1,12,,Junior Executive,BONCHON SINGAPORE PTE. LTD.,2700,1500,Monthly,0,Closed,Urgently F&B Dining Crew @ Compass One
"[{""id"":15,""category"":""F&B""}]",Permanent,8/5/2023,FALSE,MCF-2023-0066047,8/4/2023,27/1/2023,2,0,52,2,6,,Middle Management,BONCHON SINGAPORE PTE. LTD.,2500,1800,Monthly,0,Closed,F&B Dinning Supervisor @ Multi Location
"[{""id"":21,""category"":""Information Technology""}]",Full Time,22/4/2023,TRUE,MCF-2023-0274561,8/4/2023,8/4/2023,0,0,28,7,2,,Professional,VVV EMPLOYMENT AGENCY,10200,6100,Monthly,0,Closed,Senior Network Specialist
"[{""id"":3,""category"":""Advertising / Media""},{""id"":35,""category"":""Sales / Retail""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274441,8/4/2023,8/4/2023,0,2,36,3,1,,Senior Executive,SEARCH PERSONNEL PRIVATE LIMITED,5000,4000,Monthly,0,Closed,Key Account Executive/Manager (Advertising/Hunter/Farmer) - Up to $5000 Basic + Commission
"[{""id"":10,""category"":""Education and Training""}]",Full Time,8/5/2023,FALSE,MCF-2023-0068307,8/4/2023,28/1/2023,1,8,176,0,1,,Non-executive,ZULFA KINDERGARTEN @PASIR RIS PTE. LTD.,2900,2500,Monthly,0,Closed,Early Childhood Educator
"[{""id"":20,""category"":""Human Resources""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274487,8/4/2023,8/4/2023,0,1,75,2,1,,Executive,BAYES RECRUITMENT PTE. LTD.,3800,2300,Monthly,0,Closed,Recruiter
"[{""id"":5,""category"":""Banking and Finance""},{""id"":7,""category"":""Consulting""},{""id"":8,""category"":""Customer Service""},{""id"":21,""category"":""Information Technology""},{""id"":41,""category"":""Others""}]",Contract,8/5/2023,FALSE,MCF-2023-0274483,8/4/2023,8/4/2023,0,1,46,2,1,,Senior Executive,PERSOLKELLY SINGAPORE PTE. LTD.,4500,3800,Monthly,0,Closed,Project Assistant Manager (Claim Support) | Up $4500 + Bonus | Contract to PERM ~
"[{""id"":2,""category"":""Admin / Secretarial""},{""id"":8,""category"":""Customer Service""},{""id"":10,""category"":""Education and Training""}]",Contract,8/5/2023,FALSE,MCF-2023-0274475,8/4/2023,8/4/2023,0,4,50,1,1,,Fresh/entry level,PERSOLKELLY SINGAPORE PTE. LTD.,2700,2000,Monthly,0,Closed,Training Admin Ops | Up $2700 + Bonus | Contract to PERM | Woodleigh ~
"[{""id"":8,""category"":""Customer Service""}]",Contract,8/5/2023,FALSE,MCF-2023-0274457,8/4/2023,8/4/2023,0,0,28,1,1,,Junior Executive,PERSOLKELLY SINGAPORE PTE. LTD.,2800,1800,Monthly,0,Closed,Brand Ambassador | Up $2800 + Bonus | Contract to PERM | Somerset ~
"[{""id"":15,""category"":""F&B""}]",Part Time,10/6/2023,FALSE,MCF-2023-0173554,11/5/2023,4/3/2023,2,1,87,1,15,,Junior Executive,BONCHON SINGAPORE PTE. LTD.,3000,1500,Monthly,0,Closed,F&B Dining Crew @ Muliti Location
"[{""id"":8,""category"":""Customer Service""},{""id"":19,""category"":""Hospitality""}]",Full Time,8/7/2023,FALSE,MCF-2023-0211050,8/6/2023,16/3/2023,2,6,172,2,3,,Executive,UOL CLAYMORE INVESTMENT PTE. LTD.,3200,2500,Monthly,0,Re-open,Guest Service Team Leader (Front Office)
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274458,8/4/2023,8/4/2023,0,17,124,1,1,,Executive,PEOPLE PROFILERS PTE. LTD.,5500,4200,Monthly,0,Closed,FINANCE EXECUTIVE - SWISS MNC (Up to $5.2K + AWS + 2 Months Bonus)
"[{""id"":15,""category"":""F&B""}]",Permanent,10/6/2023,FALSE,MCF-2023-0113096,11/5/2023,12/2/2023,2,3,58,1,8,,Professional,BONCHON SINGAPORE PTE. LTD.,3000,2000,Monthly,0,Closed,F&B Management Trainee @ Compass One
"[{""id"":2,""category"":""Admin / Secretarial""}]",Full Time,29/4/2023,FALSE,MCF-2023-0274477,8/4/2023,8/4/2023,0,7,94,2,1,,Junior Executive,GENESIS SEARCH PTE. LTD.,3000,2500,Monthly,0,Closed,Service Administrator
"[{""id"":15,""category"":""F&B""},{""id"":19,""category"":""Hospitality""}]",Part Time,8/5/2023,FALSE,MCF-2023-0056443,8/4/2023,20/1/2023,2,2,113,2,5,,Non-executive,BRAWN & BRAINS COFFEE PTE. LTD.,2200,1900,Monthly,0,Closed,Management Trainee
"[{""id"":2,""category"":""Admin / Secretarial""},{""id"":8,""category"":""Customer Service""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274599,8/4/2023,8/4/2023,0,2,57,0,4,,Fresh/entry level,MINDFLEX EDUCATION PTE. LTD.,3500,2500,Monthly,0,Closed,Tuition Coordinator
"[{""id"":10,""category"":""Education and Training""},{""id"":27,""category"":""Medical / Therapy Services""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274443,8/4/2023,8/4/2023,0,0,47,4,1,,Professional,ST ANDREW'S MISSION HOSPITAL,5200,4000,Monthly,0,Closed,Speech & Language Therapist
"[{""id"":15,""category"":""F&B""}]",Part Time,8/5/2023,FALSE,MCF-2023-0066034,8/4/2023,27/1/2023,2,0,51,1,8,,Junior Executive,BONCHON SINGAPORE PTE. LTD.,2800,1500,Monthly,0,Closed,F&B Kitchen Operation Team Island wide
"[{""id"":15,""category"":""F&B""}]",Part Time,8/5/2023,FALSE,MCF-2023-0113064,8/4/2023,12/2/2023,1,2,47,1,10,,Executive,BONCHON SINGAPORE PTE. LTD.,2800,1500,Monthly,0,Closed,F&B Dining Crew @ Wisma Atria
"[{""id"":26,""category"":""Marketing / Public Relations""}]",Contract,8/5/2023,FALSE,MCF-2023-0274467,8/4/2023,8/4/2023,0,0,38,1,1,,Fresh/entry level,PERSOLKELLY SINGAPORE PTE. LTD.,2700,2000,Monthly,0,Closed,Marketing Executive Assistant | Up $2700 + Bonus | Contract to PERM | Toa Payoh ~
"[{""id"":35,""category"":""Sales / Retail""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274431,8/4/2023,8/4/2023,0,1,33,1,3,,Junior Executive,TRUST RECRUIT PTE. LTD.,3500,2500,Monthly,0,Closed,Easy ! Sales Executive (West/ B2C/ Water Purifier/ Training provided) Basic + Commission CSY
"[{""id"":10,""category"":""Education and Training""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274446,8/4/2023,8/4/2023,0,8,112,3,3,,Professional,ST ANDREW'S MISSION HOSPITAL,4700,2700,Monthly,0,Closed,Teacher 
"[{""id"":21,""category"":""Information Technology""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274617,8/4/2023,8/4/2023,0,2,75,2,1,,Junior Executive,TRUST RECRUIT PTE. LTD.,5000,4000,Monthly,0,Closed,"Software Engineer / Java Developer ( MNC , Semiconductor , JAVA , Oracle SQL ) - URGENT HIRING!!!"
"[{""id"":21,""category"":""Information Technology""}]",Contract,22/4/2023,FALSE,MCF-2023-0274440,8/4/2023,8/4/2023,0,6,90,1,7,,Professional,TECHNOPALS PTE. LTD.,4500,2500,Monthly,0,Closed,L2 Production Support
"[{""id"":21,""category"":""Information Technology""}]",Contract,22/4/2023,FALSE,MCF-2023-0274380,8/4/2023,8/4/2023,0,0,37,8,3,,Senior Executive,TECHEMERGE SOLUTIONS PTE. LTD.,10000,7500,Monthly,0,Closed,Technical Lead
"[{""id"":6,""category"":""Building and Construction""}]",Permanent,10/7/2023,FALSE,MCF-2023-0274602,10/6/2023,8/4/2023,2,0,67,2,2,,Executive,TALENT TRADER GROUP PTE. LTD.,4500,3500,Monthly,0,Re-open,Coordinator M&E #Careers #Jobs #Urgent
"[{""id"":7,""category"":""Consulting""},{""id"":31,""category"":""Purchasing / Merchandising""},{""id"":35,""category"":""Sales / Retail""},{""id"":41,""category"":""Others""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274536,8/4/2023,8/4/2023,0,0,26,2,1,,Executive,AEON SEARCH CONSULTING PTE. LTD.,3800,3000,Monthly,0,Closed,BUSINESS PLANNING EXEC (RETAIL) / TOWN
"[{""id"":8,""category"":""Customer Service""},{""id"":41,""category"":""Others""}]",Temporary,15/4/2023,FALSE,MCF-2023-0274526,8/4/2023,8/4/2023,0,1,21,0,5,,Fresh/entry level,RECRUITPEDIA PTE. LTD.,1500,1000,Monthly,0,Closed,Temp Cashiers / Retail Assistants for Convenience Stores - Various locations
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":2,""category"":""Admin / Secretarial""},{""id"":41,""category"":""Others""}]",Contract,8/5/2023,FALSE,MCF-2023-0274494,8/4/2023,8/4/2023,0,1,43,1,1,,Fresh/entry level,PERSOLKELLY SINGAPORE PTE. LTD.,2300,2000,Monthly,0,Closed,"Billing Assistant (Invoice, Bill Claims) | Up $2200 + Bonus | Contract to PERM ~"
"[{""id"":16,""category"":""General Management""},{""id"":18,""category"":""Healthcare / Pharmaceutical""}]",Permanent,8/5/2023,FALSE,MCF-2023-0133648,8/4/2023,18/2/2023,2,46,441,6,1,,Manager,THE LENTOR RESIDENCE PTE LTD,6000,4500,Monthly,0,Closed,Operations Manager (Nursing Home) West Coast Jul 2023
"[{""id"":5,""category"":""Banking and Finance""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274500,8/4/2023,8/4/2023,0,25,395,3,2,,Executive,"MIZUHO BANK, LTD.",6000,3800,Monthly,0,Closed,"Analyst / Associate, Trade Services"
"[{""id"":21,""category"":""Information Technology""}]",Full Time,22/4/2023,TRUE,MCF-2023-0274560,8/4/2023,8/4/2023,0,1,32,6,2,,Professional,VVV EMPLOYMENT AGENCY,10200,6000,Monthly,0,Closed,Senior Network Specialist
"[{""id"":17,""category"":""General Work""},{""id"":25,""category"":""Manufacturing""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274572,8/4/2023,8/4/2023,0,3,83,1,2,,Non-executive,RECRUIT LYNC PTE. LTD.,3000,2000,Monthly,0,Closed,(C) PCA Test Technician - Assembly Board
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":11,""category"":""Engineering""},{""id"":24,""category"":""Logistics / Supply Chain""},{""id"":25,""category"":""Manufacturing""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274543,8/4/2023,8/4/2023,0,10,104,2,1,,Executive,AEON SEARCH CONSULTING PTE. LTD.,4500,3500,Monthly,0,Closed,ACCOUNTS EXEC (GL) / UP TO $4.5K / NORTHEAST
"[{""id"":11,""category"":""Engineering""},{""id"":41,""category"":""Others""}]",Permanent,10/6/2023,FALSE,MCF-2023-0183627,11/5/2023,8/3/2023,2,8,345,2,2,,Non-executive,HITACHI AQUA-TECH ENGINEERING PTE. LTD.,4800,3000,Monthly,0,Closed,Electrical Drafter (Water Treatment)
"[{""id"":5,""category"":""Banking and Finance""},{""id"":7,""category"":""Consulting""},{""id"":8,""category"":""Customer Service""},{""id"":21,""category"":""Information Technology""},{""id"":22,""category"":""Insurance""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274540,8/4/2023,8/4/2023,0,12,96,2,2,,Executive,AEON SEARCH CONSULTING PTE. LTD.,5500,4500,Monthly,0,Closed,CLIENT SERVICES EXEC (CANTONESE) BANK / CENTRAL
"[{""id"":11,""category"":""Engineering""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274456,8/4/2023,8/4/2023,0,0,48,0,4,,Junior Executive,TRUST RECRUIT PTE. LTD.,3000,2500,Monthly,0,Closed,Electrical Design Engineer (West/ AutoCad/ Training Provided/ Elevator) CSY
"[{""id"":28,""category"":""Personal Care / Beauty""}]",Full Time,25/5/2023,FALSE,MCF-2023-0225091,25/4/2023,21/3/2023,2,1,66,2,5,,Executive,FUCHANGSHUN,4000,3000,Monthly,0,Closed,Massage Therapist
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""},{""id"":2,""category"":""Admin / Secretarial""},{""id"":8,""category"":""Customer Service""}]",Contract,8/5/2023,FALSE,MCF-2023-0274593,8/4/2023,8/4/2023,0,1,32,1,1,,Fresh/entry level,PERSOLKELLY SINGAPORE PTE. LTD.,2600,2000,Monthly,0,Closed,Billing Executive (Account Receivable) | Up $2400 + Bonus | Kallang Sector ~
"[{""id"":1,""category"":""Accounting / Auditing / Taxation""}]",Full Time,22/4/2023,FALSE,MCF-2023-0274605,8/4/2023,8/4/2023,0,5,74,3,1,,Manager,DTL ACCOUNTING GROUP PTE. LTD.,6000,5000,Monthly,0,Closed,ACCOUNT MANAGER
"[{""id"":6,""category"":""Building and Construction""},{""id"":8,""category"":""Customer Service""},{""id"":17,""category"":""General Work""},{""id"":26,""category"":""Marketing / Public Relations""},{""id"":33,""category"":""Repair and Maintenance""}]",Full Time,8/5/2023,FALSE,MCF-2023-0274612,8/4/2023,8/4/2023,0,2,121,1,2,,Non-executive,SRP CONSTRUCTION PTE. LTD.,4000,3000,Monthly,0,Closed,BUS DRIVER
"[{""id"":15,""category"":""F&B""},{""id"":35,""category"":""Sales / Retail""},{""id"":42,""category"":""Wholesale Trade""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274447,8/4/2023,8/4/2023,0,3,48,1,1,,Junior Executive,SEARCH PERSONNEL PRIVATE LIMITED,4000,3000,Monthly,0,Closed,Sales Executive/Business Development Executive (HORECA/Premium Tea Brand/Wholesale) - Up to $3500 + Commission
"[{""id"":15,""category"":""F&B""}]",Part Time,10/6/2023,FALSE,MCF-2023-0113107,11/5/2023,12/2/2023,2,3,137,1,6,,Executive,BONCHON SINGAPORE PTE. LTD.,3200,1500,Monthly,0,Closed,Kitchen @ Cloud Kitchen
"[{""id"":19,""category"":""Hospitality""}]",Full Time,8/5/2023,FALSE,MCF-2023-0229537,8/4/2023,23/3/2023,1,1,243,3,1,,Non-executive,UOL CLAYMORE INVESTMENT PTE. LTD.,2200,1800,Monthly,0,Closed,Painter
"[{""id"":35,""category"":""Sales / Retail""}]",Full Time,22/4/2023,FALSE,MCF-2023-0274491,8/4/2023,8/4/2023,0,0,41,8,3,,Manager,SWARNAM INTERNATIONAL TRADING PTE. LTD.,5000,3000,Monthly,0,Closed,Sales Assistant
"[{""id"":17,""category"":""General Work""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274461,8/4/2023,8/4/2023,0,2,44,1,1,,Non-executive,AOE PTE. LTD.,2500,2000,Monthly,0,Closed,Installer
"[{""id"":15,""category"":""F&B""}]",Part Time,15/7/2023,FALSE,MCF-2023-0274482,15/6/2023,8/4/2023,2,8,191,2,3,,Non-executive,BRAWN & BRAINS COFFEE PTE. LTD.,15,12,Monthly,0,Re-open,Kitchen Assistant (Part Time)
"[{""id"":8,""category"":""Customer Service""}]",Full Time,22/4/2023,TRUE,MCF-2023-0274466,8/4/2023,8/4/2023,0,9,63,5,4,,Executive,SPRING GROUP CONSULTANCY PTE. LTD.,5500,3000,Monthly,0,Closed,Bar Manager
"[{""id"":6,""category"":""Building and Construction""},{""id"":11,""category"":""Engineering""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274476,8/4/2023,8/4/2023,0,0,27,0,1,,Executive,PEOPLE PROFILERS PTE. LTD.,4000,3000,Monthly,0,Closed,PROJECT ENGINEER – Construction M&E
"[{""id"":10,""category"":""Education and Training""}]",Part Time,8/5/2023,FALSE,MCF-2023-0274474,8/4/2023,8/4/2023,0,1,75,1,2,,Non-executive,ZULFA EDUCENTRE @PASIR RIS PTE. LTD.,2200,2000,Monthly,0,Closed,Asatizah
"[{""id"":15,""category"":""F&B""}]",Permanent,8/5/2023,TRUE,MCF-2023-0274450,8/4/2023,8/4/2023,0,1,41,5,3,,Middle Management,57 EMPLOYMENT AGENCY PTE. LTD.,5000,3000,Monthly,0,Closed,SUPERVISOR
"[{""id"":25,""category"":""Manufacturing""}]",Permanent,8/5/2023,TRUE,MCF-2023-0274460,8/4/2023,8/4/2023,0,0,47,5,3,,Executive,57 EMPLOYMENT AGENCY PTE. LTD.,4500,3000,Monthly,0,Closed,CARPENTER
"[{""id"":11,""category"":""Engineering""},{""id"":25,""category"":""Manufacturing""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274571,8/4/2023,8/4/2023,0,0,37,1,1,,Junior Executive,RECRUIT LYNC PTE. LTD.,2500,2000,Monthly,0,Closed,(C) QC Officer - Electronics Manufacturing
"[{""id"":35,""category"":""Sales / Retail""}]",Full Time,22/4/2023,FALSE,MCF-2023-0274465,8/4/2023,8/4/2023,0,6,65,6,2,,Senior Management,SWARNAM INTERNATIONAL TRADING PTE. LTD.,10000,6000,Monthly,0,Closed,Sales and Marketing Manager
"[{""id"":15,""category"":""F&B""}]",Temporary,8/5/2023,FALSE,MCF-2023-0066026,8/4/2023,27/1/2023,2,1,52,1,10,,Executive,BONCHON SINGAPORE PTE. LTD.,2800,2000,Monthly,0,Closed,F&B Management Trainee / Supervisor (FOH / BOH)
"[{""id"":11,""category"":""Engineering""},{""id"":12,""category"":""Entertainment""},{""id"":16,""category"":""General Management""},{""id"":17,""category"":""General Work""},{""id"":33,""category"":""Repair and Maintenance""}]",Full Time,8/5/2023,FALSE,MCF-2022-0913071,8/4/2023,21/11/2022,1,9,258,2,2,,Non-executive,SRP CONSTRUCTION PTE. LTD.,3500,3000,Monthly,0,Closed,Driver
"[{""id"":17,""category"":""General Work""},{""id"":24,""category"":""Logistics / Supply Chain""},{""id"":41,""category"":""Others""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274564,8/4/2023,8/4/2023,0,2,45,0,1,,Fresh/entry level,RECRUIT LYNC PTE. LTD.,3000,2000,Monthly,0,Closed,(C) Delivery Attendant / Person [ 5 Days / Tuas / Transportation Provided] - Gross up to $3K
"[{""id"":36,""category"":""Sciences / Laboratory / R&D""}]",Contract,8/5/2023,FALSE,MCF-2023-0274535,8/4/2023,8/4/2023,0,0,22,0,1,,Fresh/entry level,RECRUITPEDIA PTE. LTD.,2000,1900,Monthly,0,Closed,Regulatory Officer / West / No Experience Required - Training Provided / 1 Year Contract (Convertible) / Global MNC
"[{""id"":28,""category"":""Personal Care / Beauty""}]",Permanent,8/5/2023,TRUE,MCF-2023-0274462,8/4/2023,8/4/2023,0,1,26,5,3,,Executive,57 EMPLOYMENT AGENCY PTE. LTD.,5000,3000,Monthly,0,Closed,BEAUTICIAN
"[{""id"":6,""category"":""Building and Construction""},{""id"":11,""category"":""Engineering""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274469,8/4/2023,8/4/2023,0,1,38,1,1,,Executive,PEOPLE PROFILERS PTE. LTD.,4500,3200,Monthly,0,Closed,QUANTITY SURVEYOR - Up to $4.5K
"[{""id"":21,""category"":""Information Technology""}]",Contract,22/4/2023,FALSE,MCF-2023-0274430,8/4/2023,8/4/2023,0,0,51,5,5,,Senior Executive,QUANTUM INFOTECH SOLUTIONS PTE. LTD.,9000,7000,Monthly,0,Closed,Senior Software Engineer
"[{""id"":2,""category"":""Admin / Secretarial""}]",Full Time,22/4/2023,FALSE,MCF-2023-0274473,8/4/2023,8/4/2023,0,20,87,6,2,,Middle Management,SWARNAM INTERNATIONAL TRADING PTE. LTD.,10000,6000,Monthly,0,Closed,Assistant Manager
"[{""id"":2,""category"":""Admin / Secretarial""},{""id"":8,""category"":""Customer Service""},{""id"":17,""category"":""General Work""},{""id"":35,""category"":""Sales / Retail""}]",Full Time,29/4/2023,FALSE,MCF-2023-0274479,8/4/2023,8/4/2023,0,1,50,0,1,,Executive,LBHH CRYSTAL SG PTE. LTD.,2200,1600,Monthly,0,Closed,Operation Assistants
"[{""id"":6,""category"":""Building and Construction""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274598,8/4/2023,8/4/2023,0,1,44,2,2,,Manager,TALENT TRADER GROUP PTE. LTD.,8500,6500,Monthly,0,Closed,Manager for Geotechnical Design - 5 Days
"[{""id"":13,""category"":""Environment / Health""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274548,8/4/2023,8/4/2023,0,14,111,5,1,,Executive,RANDSTAD PTE. LIMITED,7800,5000,Monthly,0,Closed,Senior HSE Engineer (Chemical / Lubricant Manufacturing)
"[{""id"":35,""category"":""Sales / Retail""}]",Permanent,8/5/2023,FALSE,MCF-2023-0274464,8/4/2023,8/4/2023,0,2,37,4,1,,Senior Executive,PEOPLE PROFILERS PTE. LTD.,9000,6000,Monthly,0,Closed,SALES MANAGER – HIGH-END EUROPEAN ARCHTECTURAL PRODUCTS
